"Date","Price","Open","High","Low","Vol.","Change %"
"13/01/2015","3,223.35","3,210.00","3,238.00","3,190.00","490.67K","0.50%"
"12/01/2015","3,207.25","3,153.00","3,214.00","3,126.65","334.22K","1.37%"
"09/01/2015","3,163.80","3,095.00","3,170.00","3,091.20","593.64K","3.18%"
"08/01/2015","3,066.30","3,060.00","3,094.05","3,041.00","278.84K","0.89%"
"07/01/2015","3,039.20","3,075.10","3,078.05","3,010.00","319.44K","-0.86%"
"06/01/2015","3,065.55","3,130.00","3,130.00","3,055.00","391.34K","-2.63%"
"05/01/2015","3,148.40","3,221.40","3,221.40","3,141.00","293.77K","-2.27%"
"02/01/2015","3,221.40","3,220.00","3,242.65","3,215.00","86.01K","0.34%"
"01/01/2015","3,210.50","3,230.00","3,235.00","3,204.00","75.64K","-1.10%"
"31/12/2014","3,246.20","3,199.85","3,261.00","3,192.00","243.99K","2.00%"
"30/12/2014","3,182.55","3,144.80","3,190.00","3,143.50","115.14K","1.33%"
"29/12/2014","3,140.85","3,156.75","3,164.20","3,135.10","121.07K","0.22%"
"26/12/2014","3,134.10","3,145.00","3,157.40","3,117.15","156.29K","-0.01%"
"24/12/2014","3,134.45","3,186.00","3,186.00","3,119.25","660.00K","-2.24%"
"23/12/2014","3,206.35","3,229.85","3,236.50","3,183.20","269.08K","-0.97%"
"22/12/2014","3,237.90","3,206.00","3,255.00","3,175.15","231.38K","1.20%"
"19/12/2014","3,199.45","3,180.00","3,220.00","3,165.10","476.40K","1.53%"
"18/12/2014","3,151.25","3,200.00","3,220.00","3,124.00","351.20K","-0.29%"
"17/12/2014","3,160.35","3,101.00","3,213.00","3,057.00","812.53K","0.57%"
"16/12/2014","3,142.35","3,311.65","3,327.85","3,119.90","1.04M","-6.36%"
"15/12/2014","3,355.65","3,349.00","3,375.70","3,302.10","186.72K","-0.65%"
"12/12/2014","3,377.75","3,411.00","3,428.95","3,360.50","187.78K","-1.51%"
"11/12/2014","3,429.50","3,379.70","3,448.00","3,331.00","219.44K","0.82%"
"10/12/2014","3,401.60","3,380.00","3,421.90","3,340.00","253.50K","1.39%"
"09/12/2014","3,354.85","3,330.00","3,379.00","3,320.00","358.80K","1.19%"
"08/12/2014","3,315.40","3,395.90","3,405.55","3,310.55","361.63K","-2.36%"
"05/12/2014","3,395.50","3,477.95","3,477.95","3,386.10","319.59K","-2.30%"
"04/12/2014","3,475.55","3,521.00","3,521.00","3,461.30","325.00K","-0.75%"
"03/12/2014","3,501.95","3,577.00","3,577.00","3,488.95","460.12K","-2.49%"
"02/12/2014","3,591.40","3,628.00","3,628.00","3,580.10","172.36K","-1.02%"
"01/12/2014","3,628.45","3,602.00","3,666.25","3,602.00","214.23K","0.62%"
"28/11/2014","3,606.25","3,619.90","3,638.80","3,594.30","235.29K","-0.13%"
"27/11/2014","3,610.90","3,565.00","3,639.00","3,532.10","275.31K","1.00%"
"26/11/2014","3,575.25","3,580.00","3,588.70","3,507.10","224.23K","0.06%"
"25/11/2014","3,573.20","3,520.00","3,595.00","3,460.00","329.64K","1.45%"
"24/11/2014","3,522.00","3,520.00","3,554.25","3,505.05","183.10K","-0.25%"
"21/11/2014","3,530.80","3,527.00","3,537.20","3,501.80","119.69K","0.06%"
"20/11/2014","3,528.65","3,568.00","3,569.60","3,513.30","234.83K","0.16%"
"19/11/2014","3,523.05","3,450.00","3,535.00","3,430.00","374.89K","2.62%"
"18/11/2014","3,432.95","3,450.00","3,467.15","3,423.00","184.39K","-0.20%"
"17/11/2014","3,439.75","3,435.00","3,459.80","3,424.95","203.54K","0.14%"
"14/11/2014","3,435.05","3,478.00","3,478.00","3,405.50","192.60K","-0.96%"
"13/11/2014","3,468.25","3,430.30","3,503.00","3,365.10","331.39K","0.83%"
"12/11/2014","3,439.70","3,422.00","3,462.20","3,419.50","178.29K","0.62%"
"11/11/2014","3,418.35","3,449.90","3,449.90","3,401.00","303.68K","-0.69%"
"10/11/2014","3,442.25","3,429.00","3,456.80","3,399.40","356.50K","1.33%"
"07/11/2014","3,397.15","3,275.00","3,458.00","3,232.15","824.37K","4.46%"
