"Date","Price","Open","High","Low","Vol.","Change %"
"17/11/2023","1,194.60","1,189.80","1,198.40","1,187.95","891.97K","0.42%"
"16/11/2023","1,189.55","1,182.00","1,194.90","1,179.60","2.21M","0.73%"
"15/11/2023","1,180.90","1,179.50","1,184.40","1,171.00","2.25M","0.26%"
"13/11/2023","1,177.80","1,180.10","1,187.55","1,173.75","816.83K","-0.02%"
"12/11/2023","1,178.00","1,181.50","1,186.95","1,178.00","127.88K","-0.11%"
"10/11/2023","1,179.35","1,174.05","1,181.50","1,170.10","957.54K","0.27%"
"09/11/2023","1,176.20","1,181.00","1,183.25","1,166.85","1.85M","-0.04%"
"08/11/2023","1,176.70","1,175.00","1,182.90","1,171.00","1.70M","0.49%"
"07/11/2023","1,170.95","1,149.00","1,173.55","1,146.55","1.81M","1.82%"
"06/11/2023","1,150.00","1,140.10","1,151.00","1,140.00","1.43M","0.78%"
"03/11/2023","1,141.10","1,138.50","1,145.70","1,131.50","1.74M","0.73%"
"02/11/2023","1,132.85","1,127.85","1,137.55","1,110.60","3.45M","1.49%"
"01/11/2023","1,116.20","1,092.00","1,132.55","1,082.60","3.97M","2.54%"
"31/10/2023","1,088.60","1,119.45","1,119.60","1,068.35","6.48M","-2.39%"
"30/10/2023","1,115.20","1,115.70","1,119.95","1,103.85","1.08M","0.35%"
"27/10/2023","1,111.30","1,112.00","1,119.80","1,107.65","1.25M","0.69%"
"26/10/2023","1,103.70","1,115.95","1,117.95","1,097.50","2.22M","-1.48%"
"25/10/2023","1,120.30","1,125.00","1,129.70","1,112.80","1.80M","-0.19%"
"23/10/2023","1,122.45","1,135.00","1,149.20","1,118.00","702.73K","-1.73%"
"20/10/2023","1,142.20","1,138.00","1,145.00","1,133.10","957.91K","0.06%"
"19/10/2023","1,141.50","1,147.40","1,150.00","1,135.00","1.77M","-1.03%"
"18/10/2023","1,153.40","1,137.00","1,161.80","1,134.05","2.18M","1.46%"
"17/10/2023","1,136.80","1,138.65","1,144.00","1,134.00","798.81K","0.13%"
"16/10/2023","1,135.30","1,141.50","1,147.25","1,133.05","1.14M","-0.87%"
"13/10/2023","1,145.30","1,126.10","1,147.20","1,122.00","1.93M","1.32%"
"12/10/2023","1,130.40","1,129.00","1,132.55","1,121.20","1.22M","0.15%"
"11/10/2023","1,128.75","1,128.00","1,134.45","1,122.35","1.46M","0.20%"
"10/10/2023","1,126.50","1,122.00","1,130.40","1,119.80","1.09M","0.31%"
"09/10/2023","1,123.05","1,111.00","1,133.80","1,109.00","1.08M","-0.38%"
"06/10/2023","1,127.30","1,128.00","1,132.15","1,123.10","1.06M","0.73%"
"05/10/2023","1,119.10","1,124.65","1,128.65","1,111.80","2.35M","-0.42%"
"04/10/2023","1,123.80","1,138.10","1,139.00","1,113.00","1.80M","-1.55%"
"03/10/2023","1,141.45","1,159.55","1,161.95","1,139.25","1.95M","-1.48%"
"29/09/2023","1,158.65","1,134.30","1,167.40","1,134.30","2.29M","2.33%"
"28/09/2023","1,132.30","1,142.95","1,152.00","1,128.85","2.69M","-0.67%"
"27/09/2023","1,139.95","1,126.15","1,145.90","1,123.20","2.33M","1.25%"
"26/09/2023","1,125.85","1,125.00","1,130.00","1,118.50","1.97M","0.16%"
"25/09/2023","1,124.05","1,126.20","1,136.80","1,121.65","1.01M","-0.73%"
"22/09/2023","1,132.35","1,142.50","1,148.00","1,128.30","1.59M","-1.20%"
"21/09/2023","1,146.15","1,149.00","1,156.95","1,141.15","2.09M","-0.61%"
"20/09/2023","1,153.15","1,148.00","1,156.00","1,139.00","2.30M","0.48%"
"18/09/2023","1,147.65","1,149.00","1,157.00","1,142.55","962.84K","-0.19%"
"15/09/2023","1,149.80","1,144.00","1,153.80","1,144.00","2.40M","0.52%"
"14/09/2023","1,143.80","1,148.75","1,150.90","1,138.75","2.07M","-0.43%"
"13/09/2023","1,148.75","1,149.00","1,156.70","1,142.30","2.12M","0.31%"
"12/09/2023","1,145.25","1,142.05","1,153.80","1,137.10","3.99M","0.73%"
"11/09/2023","1,136.90","1,130.45","1,140.00","1,125.70","2.03M","0.57%"
"08/09/2023","1,130.45","1,133.00","1,138.05","1,128.50","1.79M","-0.23%"
"07/09/2023","1,133.05","1,140.00","1,141.45","1,128.60","1.86M","-0.81%"
"06/09/2023","1,142.35","1,137.00","1,149.00","1,129.05","2.96M","0.92%"
"05/09/2023","1,131.90","1,110.00","1,136.00","1,107.20","1.70M","2.07%"
"04/09/2023","1,108.90","1,114.00","1,114.00","1,102.00","1.21M","-0.01%"
"01/09/2023","1,109.00","1,112.00","1,117.50","1,105.75","2.72M","-0.23%"
"31/08/2023","1,111.60","1,118.85","1,118.85","1,101.70","4.78M","-0.30%"
"30/08/2023","1,114.90","1,117.50","1,119.15","1,110.50","1.54M","0.30%"
"29/08/2023","1,111.60","1,125.05","1,125.05","1,106.45","1.75M","-0.48%"
"28/08/2023","1,117.00","1,110.05","1,124.15","1,105.15","1.96M","0.97%"
"25/08/2023","1,106.30","1,118.00","1,123.30","1,100.25","1.52M","-1.07%"
"24/08/2023","1,118.30","1,123.60","1,133.10","1,113.20","1.58M","-0.48%"
"23/08/2023","1,123.70","1,128.00","1,130.45","1,110.60","3.05M","-1.22%"
"22/08/2023","1,137.55","1,135.00","1,147.00","1,130.00","1.44M","0.01%"
"21/08/2023","1,137.40","1,129.95","1,143.90","1,127.15","941.38K","0.22%"
"18/08/2023","1,134.90","1,141.00","1,149.30","1,129.00","1.47M","-0.86%"
"17/08/2023","1,144.80","1,143.65","1,148.95","1,137.50","1.96M","0.10%"
"16/08/2023","1,143.65","1,134.95","1,145.50","1,121.85","1.22M","0.83%"
"14/08/2023","1,134.25","1,131.00","1,142.00","1,120.50","1.82M","0.17%"
"11/08/2023","1,132.35","1,150.05","1,151.00","1,130.50","1.76M","-1.56%"
"10/08/2023","1,150.30","1,150.60","1,157.90","1,143.60","1.44M","-0.22%"
"09/08/2023","1,152.80","1,151.15","1,159.30","1,140.30","1.31M","0.36%"
"08/08/2023","1,148.65","1,162.20","1,164.60","1,139.95","3.07M","-1.05%"
"07/08/2023","1,160.80","1,138.95","1,166.75","1,133.50","3.35M","1.92%"
"04/08/2023","1,138.95","1,129.00","1,145.00","1,121.05","3.53M","-0.18%"
"03/08/2023","1,141.00","1,130.25","1,169.70","1,122.35","8.46M","0.51%"
"02/08/2023","1,135.25","1,143.95","1,144.30","1,126.45","1.73M","-0.72%"
"01/08/2023","1,143.45","1,143.40","1,152.65","1,136.00","1.45M","0.00%"
"31/07/2023","1,143.40","1,140.00","1,145.00","1,127.00","1.72M","0.43%"
"28/07/2023","1,138.55","1,129.95","1,143.90","1,121.65","2.68M","0.32%"
"27/07/2023","1,134.95","1,128.00","1,155.35","1,116.30","6.37M","2.06%"
"26/07/2023","1,112.00","1,097.05","1,114.40","1,094.10","1.32M","1.55%"
