"Date","Price","Open","High","Low","Vol.","Change %"
"08/06/2023","12,911.35","13,068.35","13,087.60","12,888.60","18.92M","-1.03%"
"07/06/2023","13,045.65","13,047.20","13,085.70","13,019.05","17.23M","0.25%"
"06/06/2023","13,012.90","12,945.60","13,028.40","12,891.65","14.35M","0.61%"
"05/06/2023","12,934.50","12,958.50","12,985.40","12,888.75","17.72M","0.26%"
"02/06/2023","12,900.60","12,823.45","12,925.35","12,776.35","24.47M","0.69%"
"01/06/2023","12,812.80","12,708.70","12,827.65","12,690.60","23.28M","1.06%"
"31/05/2023","12,678.40","12,616.70","12,748.80","12,602.50","30.32M","0.58%"
"30/05/2023","12,604.70","12,632.25","12,657.15","12,561.60","23.02M","-0.15%"
"29/05/2023","12,624.20","12,634.75","12,644.20","12,487.00","23.14M","0.18%"
"26/05/2023","12,601.55","12,447.55","12,628.15","12,414.40","17.41M","1.17%"
"25/05/2023","12,455.50","12,441.00","12,475.10","12,403.20","22.06M","0.12%"
"24/05/2023","12,440.45","12,335.05","12,449.90","12,325.80","37.67M","1.03%"
"23/05/2023","12,314.20","12,253.15","12,371.40","12,246.60","24.40M","0.57%"
"22/05/2023","12,244.20","12,063.50","12,258.65","12,040.65","29.23M","0.99%"
"19/05/2023","12,124.25","12,223.35","12,250.50","12,101.15","21.21M","-0.96%"
"18/05/2023","12,241.35","12,451.25","12,451.25","12,220.95","19.36M","-1.27%"
"17/05/2023","12,398.55","12,459.55","12,498.25","12,341.20","18.74M","-0.45%"
"16/05/2023","12,454.50","12,512.15","12,609.00","12,435.45","22.41M","-0.26%"
"15/05/2023","12,487.40","12,485.05","12,498.40","12,391.30","19.66M","0.01%"
"12/05/2023","12,486.70","12,564.35","12,591.65","12,435.25","24.91M","-0.56%"
"11/05/2023","12,557.05","12,659.25","12,671.10","12,464.85","26.23M","-1.26%"
"10/05/2023","12,716.90","12,755.10","12,760.90","12,646.20","21.69M","0.00%"
"09/05/2023","12,716.70","12,686.55","12,728.05","12,623.15","25.41M","0.42%"
"08/05/2023","12,663.10","12,598.35","12,671.55","12,580.40","21.78M","0.43%"
"05/05/2023","12,608.35","12,665.80","12,677.40","12,590.15","16.13M","-0.37%"
